Team,pts_scored,tot_yds,tot_plys,yds_per_ply,tov,fmbl,frst_downs,tot_comp,tot_pass_att,pass_yds,pass_td,int,net_yds_per_att,pass_frst_downs,rush_att,rush_yds,rush_td,rush_yds_att,rush_frst_downs,pen,pen_yds,pen_frst_downs,tot_drives,score_perc,tov_perc,avg_strt_line,time_per_drv TIME,plys_per_drv,yds_per_drv,pts_per_drv    
Team Stats,353,5661,1048,5.4,18,10,330,332,545,3523,19,8,6.2,185,477,2138,17,4.5,113,108,819,32,183,37.2,8.7,Own 30.2,2:47,5.94,30.9,1.90
Opp. Stats,401,5553,1052,5.3,23,7,325,331,529,3407,27,16,5.8,179,466,2146,12,4.6,120,95,747,26,176,41.5,11.9,Own 31.2,2:57,6.2,31.5,2.13
Lg Rank Offense,24,14,,,13,24,19,,19,19,26,4,15,,12,8,14,12,,,,,,21,24,20,23,21,19,25
Lg Rank Defense,19,15,,,7,18,14,,13,13,20,6,13,,20,24,6,25,,,,,,13,9,21,20,22,16,15
